"X","State.Is.Easing.Social.Distancing.Measures","Stay.at.Home.Order","Mandatory.Quarantine.for.Travelers","Non.Essential.Business.Closures","Large.Gatherings.Ban","School.Closures","Restaurant.Limits","Primary.Election.Postponement","Emergency.Declaration","Version","Face.Covering.Requirement","Status.of.Reopening","Bar.Closures"
"New York",NA,"Statewide","From Certain States (New)","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_07_13","Required for General Public","Proceeding with Reopening","Reopened"
"North Carolina",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_07_13","Required for General Public","Paused","Closed"
"North Dakota",NA,"-","All Travelers","All Non-Essential Businesses Permitted to Reopen","-",NA,"Reopened to Dine-in Service","-","Yes","2020_07_13","- ","Reopened","Reopened"
"Ohio",NA,"Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25",NA,"Reopened to Dine-in Service","Postponed","Yes","2020_07_13","Required for Certain Employees","Proceeding with Reopening","Reopened"
"Oklahoma",NA,"Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_07_13","-","Reopened","Reopened"
"Oregon",NA,"Statewide","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service","-","Yes","2020_07_13","Required for General Public","Proceeding with Reopening","Reopened"
"Pennsylvania",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_07_13","Required for General Public","Proceeding with Reopening","Reopened"
"Rhode Island",NA,"Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_07_13","Required for General Public","Proceeding with Reopening","Reopened"
"South Carolina",NA,"Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen","Lifted",NA,"Reopened to Dine-in Service","-","Yes","2020_07_13","Allows Local Officals to Require for General Public","New Restrictions Imposed","New Service Limits"
"South Dakota",NA,"-","-","-","Lifted",NA,"-","-","Yes","2020_07_13","-","Reopened","Reopened"
"Tennessee",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service","-","Yes","2020_07_13","Allows Local Officals to Require for General Public","Proceeding with Reopening","Reopened"
"Texas",NA,"Lifted","Lifted","New Business Closures or Limits","New Limit on Large Gatherings in Place",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_07_13","Required for General Public","New Restrictions Imposed","Newly Closed"
"Utah",NA,"Lifted","Lifted","-","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service","-","Yes","2020_07_13","Required for Certain Employees","Proceeding with Reopening","Reopened"
"Vermont",NA,"Lifted","Rolled Back to Certain States","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_07_13","Required for Certain Employees","Proceeding with Reopening","Reopened"
"Virginia",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service","-","Yes","2020_07_13","Required for General Public","Proceeding with Reopening","Closed"
"Washington",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Other",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_07_13","Required for General Public","Paused","Closed"
"West Virginia",NA,"Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_07_13","Required for General Public","Proceeding with Reopening","Reopened"
"Wisconsin",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted",NA,"Reopened to Dine-in Service","-","Yes","2020_07_13","-","Reopened","Reopened"
"Wyoming",NA,"-","Lifted","-","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service ","-","Yes","2020_07_13","Required for Certain Employees","Proceeding with Reopening","Reopened"
"",NA,"Text--narrow","Text--narrow","Text","Text--narrow",NA,"Text","Text--narrow","Text--narrow","2020_07_15","Text--narrow","Yes/No","Text"
"United States",NA,"Original Stay at Home Order in Place (1); Stay at Home Order Eased or Lifted (44); No Action (6)","Original Traveler Quarantine Mandate in Place (9); New Traveler Quarantine Mandate in Place (3); Traveler Quarantine Mandate Eased or Lifted (16); No Action (23)","Some or All Non-Essential Businesses Permitted to Reopen (43); New Business Closures or Limits (3); No Action (5)","Original Gathering Ban/Limit in Place (5); Gathering Ban/Limit Expanded or Lifted (40); New Gathering Ban/Limit in Place (5): No Action (1)",NA,"Restaurants Reopened to Dine-in Service (47); Newly Closed to Dine-in Service (1); New Capacity Limits (2); No Action (1)","Postponed (15); No (36)","Yes (51); No (0)","2020_07_15","Required for General Public (24); Required for Certain Employees (17); Allows Local Officals to Require for General Public (5); No Action (7)","Proceeding (24); Paused (7); New Restrictions Imposed (13); Reopened (7)","Closed (9); Reopened (32); Newly Closed (8); New Service Limits (2)"
"Alabama",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service","-","Yes","2020_07_15","Required for Certain Employees","Paused","Reopened"
"Alaska",NA,"Lifted","All Travelers","All Non-Essential Businesses Permitted to Reopen","Lifted",NA,"Reopened to Dine-in Service ","-","Yes","2020_07_15","Required for Certain Employees","Proceeding with Reopening","Reopened"
"Arizona",NA,"Lifted","Lifted","New Business Closures or Limits","New Limit on Large Gatherings in Place",NA,"New Capacity Limits","-","Yes","2020_07_15","Required for Certain Employees;
Allows Local Officials to Require for General Public","New Restrictions Imposed","Newly Closed"
"Arkansas",NA,"-","Lifted","-","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_07_15","Required for Certain Employees;
Allows Local Officials to Require for General Public","Paused","Reopened"
"California",NA,"Statewide","-","New Business Closures or Limits","All Gatherings Prohibited",NA,"Newly Closed to Dine-in Service","-","Yes","2020_07_15","Required for General Public","New Restrictions Imposed","Newly Closed"
"Colorado",NA,"Rolled Back to High Risk Groups","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_07_15","Required for Certain Employees","New Restrictions Imposed","Newly Closed"
"Connecticut",NA,"Lifted","From Certain States (New)","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit of 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_07_15","Required for General Public","Proceeding with Reopening","Closed"
"Delaware",NA,"Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_07_15","Required for General Public","New Restrictions Imposed","New Service Limits"
"District of Columbia",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_07_15","Required for General Public","Proceeding with Reopening","Closed"
"Florida",NA,"Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_07_15","Required for Certain Employees","New Restrictions Imposed","Newly Closed"
"Georgia",NA,"Rolled Back to High Risk Groups","-","All Non-Essential Businesses Permitted to Reopen ","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service ","Postponed","Yes","2020_07_15","Required for Certain Employees","Proceeding with Reopening","Reopened"
"Hawaii",NA,"Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service","-","Yes","2020_07_15","Required for General Public","Proceeding with Reopening","Reopened"
"Idaho",NA,"Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_07_15","-","Paused","Reopened"
"Illinois",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_07_15","Required for General Public","Proceeding with Reopening","Reopened"
"Indiana",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_07_15","Required for Certain Employees","Proceeding with Reopening","Reopened"
"Iowa",NA,"-","-","All Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service","-","Yes","2020_07_15","Allows Local Officals to Require for General Public","Reopened","Reopened"
"Kansas",NA,"Lifted","From Certain States","All Non-Essential Businesses Permitted to Reopen","Lifted",NA,"Reopened to Dine-in Service ","-","Yes","2020_07_15","Required for General Public","Reopened","Reopened"
"Kentucky",NA,"Lifted","Lifted","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_07_15","Required for General Public","Proceeding with Reopening","Reopened"
"Louisiana",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","New Limit on Large Gatherings in Place",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_07_15","Required for General Public","New Restrictions Imposed","Newly Closed"
"Maine",NA,"Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_07_15","Required for General Public","Proceeding with Reopening","Closed"
"Maryland",NA,"Lifted","All Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity",">10 People Prohibited",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_07_15","Required for General Public","Proceeding with Reopening","Reopened"
"Massachusetts",NA,"Rolled Back to High Risk Groups","All Travelers","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit of 25",NA,"Reopened to Dine-in Service","-","Yes","2020_07_15","Required for General Public","Proceeding with Reopening","Closed"
"Michigan",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_07_15","Required for General Public","Paused","Newly Closed"
"Minnesota",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen",">10 People Prohibited",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_07_15","Required for Certain Employees","Proceeding with Reopening","Reopened"
"Mississippi",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_07_15","Required for Certain Employees","New Restrictions Imposed","Reopened"
"Missouri",NA,"Lifted","-","All Non-Essential Businesses Permitted to Reopen","Lifted",NA,"Reopened to Dine-in Service","-","Yes","2020_07_15","-","Reopened","Reopened"
"Montana",NA,"Lifted","Lifted","All Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_07_15","-","Proceeding with Reopening","Reopened"
"Nebraska",NA,"-","Rolled Back to International Travel","-","Expanded to New Limit of 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_07_15","Required for Certain Employees","Proceeding with Reopening","Reopened"
"Nevada",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_07_15","Required for General Public","New Restrictions Imposed","Newly Closed"
"New Hampshire",NA,"Lifted","-","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Lifted",NA,"Reopened to Dine-in Service with Capacity Limits","-","Yes","2020_07_15","Required for Certain Employees","Proceeding with Reopening","Reopened"
"New Jersey",NA,"Lifted","From Certain States (New)","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_07_15","Required for General Public","Paused","Closed"
"New Mexico",NA,"Lifted","All Air Travelers","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Below 25",NA,"New Capacity Limits","-","Yes","2020_07_15","Required for Certain Employees","New Restrictions Imposed","Closed"
"New York",NA,"Rolled Back to High Risk Groups","From Certain States (New)","Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity","Expanded to New Limit Above 25",NA,"Reopened to Dine-in Service with Capacity Limits","Postponed","Yes","2020_07_15","Required for General Public","Proceeding with Reopening","Reopened"
